Are you enrolled in Trinity College of Arts and Sciences or the Pratt School of Engineering?,Are you of Hispanic/Latino/Spanish origin?,How would you best describe yourself?,What is your gender?,What is your sexual orientation?,Are you a first-generation college student?,Are you a recruited varsity athlete?,Are you an international student?,Which state do you live in (please enter the postal abbreviation)?,What is the ZIP Code of your home address?,What is your home city?,What is your home country?,What type of community are you from?,What do you estimate is your immediate family's total annual income?,Do you receive financial aid from Duke?,Which major are you most inclined towards?,Which of the following most influenced your decision to attend Duke?,How interested are you in Greek life at Duke?,How interested are you in non-Greek selective living groups at Duke?,Are you more or less likely to rush if the recruitment process were to be online?,What is your primary motivation for wanting to rush?,Which of the following best describes your living situation this semester?,What was your primary reason for staying home?,Are you planning to come to campus/Durham in the spring?,What are your plans for the spring?,Did you receive additional COVID-19 relief funds from Duke? (in addition to financial aid package),What do you think of the amount received?,Have you tested positive for COVID-19 (while on campus)?,Has someone you know tested positive for COVID-19 (while on campus)?,Share your opinions on... - The Duke Compact,Share your opinions on... - Duke's enforcement of the Duke Compact,Share your opinions on... - First-year fall housing arrangements,How many in-person classes are you in this semester?,Are you in a FOCUS?,How many of your FOCUS classes are in-person (not including the FOCUS “dinner”)?,Have you been able to find community this year?,Where have you primarily found community?,How much do you think the pandemic has negatively affected your ability to find community?,How likely are you to abide by the following elements of the Duke Compact: - Wearing a mask or face covering in all public spaces,How likely are you to abide by the following elements of the Duke Compact: - Monitoring and reporting symptoms through the SymMon app,How likely are you to abide by the following elements of the Duke Compact: - Avoiding large gatherings of 10+ people,How likely are you to abide by the following elements of the Duke Compact: - Engaging in physical distancing,How likely are your peers to abide by the following elements of the Duke Compact: - Wearing a mask or face covering in all public spaces,How likely are your peers to abide by the following elements of the Duke Compact: - Monitoring and reporting symptoms through the SymMon app,How likely are your peers to abide by the following elements of the Duke Compact: - Avoiding large gatherings of 10+ people,How likely are your peers to abide by the following elements of the Duke Compact: - Engaging in physical distancing,How likely are you to report violations to the Duke Compact?,Were your summer and/or travel plans affected by the pandemic?,Has any member of your household lost their job or been furloughed due to the pandemic?,Have any of your family members or close contacts died from COVID-19?,What was your high school GPA (scaled on a 0 to 4.00 scale)?,Did you take the SAT or ACT?,What was your SAT combined score?,What was your ACT composite score?,What type of secondary school did you attend?,Did you hire a private college admissions counselor during the admissions process?,How many colleges and universities did you apply to?,How many colleges and universities were you accepted to?,Did you apply to Duke via the Early Decision process?,Were you accepted off the waitlist from Duke?,Was Duke your first choice?,Did any of your parents or siblings attend Duke?,Which best describes your religion?,How religious would you say you are?,How would you describe your political beliefs?,Did you / are you planning to vote in the 2020 election?,Who did you vote for / who are you planning to vote for?,Did you / are you planning to vote at your home or in Durham?,Did you vote in the primary election?,Have you done any of the following?,Have you received treatment for your mental health before?,Are you currently receiving treatment for your mental health?,In which format do you read The Chronicle?
Trinity,No,Asian,Cis Man,Heterosexual,No,No,No,PA,15090,,,Suburban,"$250,000-$500,000",No,Political Science,Academics and interdisciplinary curriculum,Not interested at all,Moderately interested,Neither more or less likely,Leadership opportunities,On campus,,,Staying on campus,No,,No,No,Strongly favorable,Somewhat favorable,Somewhat favorable,3,Yes,2,Somewhat agree,Dorm,A moderate amount,Very likely,Very likely,Very likely,Very likely,Moderately Likely,Moderately Likely,Neither likely or unlikely,Neither likely or unlikely,Neither likely nor unlikely,Yes,No,No,4,"SAT,ACT",1530,35,Public (non-charter),Yes,2,2,Yes,No,Yes,Yes,Hindu,Somewhat religious,Very liberal,Yes,Joe Biden,Home (Not Durham),Yes,,Yes,Yes,Online
Trinity,No,White,Cis Woman,Bisexual,No,No,No,TX,77005,,,Urban,"Above $500,000",No,Biology,Student life / campus culture,Slightly interested,Very interested,More likely,Wanting to belong in a social group,On campus,,,Staying on campus,No,,No,No,Somewhat favorable,Somewhat favorable,Strongly favorable,3,Yes,2,Somewhat agree,Dorm,A great deal,Very likely,Moderately Likely,Moderately Likely,Moderately unlikely,Very likely,Moderately Likely,Moderately unlikely,Moderately unlikely,Very unlikely,Yes,No,No,4,ACT,,36,Private (non-denominational),No,18,5,Yes,No,Yes,No,Atheist,Not at all religious,Somewhat liberal,Yes,Joe Biden,Home (Not Durham),Yes,"Drank alcohol,Used drugs,Had sex,Obtained a fake ID",No,,Online
Trinity,No,Other,Other,Heterosexual,No,No,No,GA,30044,,,Suburban,"Below $40,000",Yes,"Program II (self-designed degree, BA or BS)",Other,Not interested at all,Slightly interested,Neither more or less likely,Other,On campus,,,Unsure,No,,No,No,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,3,Yes,2,Somewhat agree,Other,A great deal,Moderately Likely,Moderately Likely,Moderately Likely,Moderately Likely,Moderately Likely,Moderately Likely,Moderately Likely,Moderately Likely,Moderately unlikely,Yes,No,No,3.9,"SAT,ACT",1400,30,Public (non-charter),No,8,3,No,No,No,No,Protestant,Very religious,Moderate,Yes,Donald Trump,Home (Not Durham),No,,No,,Print and Online
Trinity,Yes,White,Cis Woman,Heterosexual,Yes,No,No,TX,78572,,,Suburban,,Yes,Economics,Academics and interdisciplinary curriculum,Slightly interested,Very interested,Much less likely,Preprofessional opportunities / alumni network,On campus,,,Staying on campus,No,,No,Yes,Strongly favorable,Somewhat favorable,Strongly favorable,2,Yes,1,Somewhat agree,Dorm,A great deal,Very likely,Very likely,Moderately Likely,Moderately Likely,Very likely,Very likely,Moderately Likely,Moderately Likely,Neither likely nor unlikely,Yes,No,Yes,3.89,ACT,,,Public (non-charter),No,,,No,No,Yes,No,Atheist,Not at all religious,Very liberal,Yes,Joe Biden,Durham,Ineligible to vote,"Drank alcohol,Used drugs,Had sex,Obtained a fake ID",No,,Online
Trinity,No,Asian,Cis Woman,Heterosexual,No,No,Yes,,,Seoul,"Korea, South",Urban,"Above $500,000",No,Global Health**,Pre-professional opportunities and alumni network,Moderately interested,Extremely interested,More likely,Wanting to belong in a social group,On campus,,,Staying on campus,No,,No,No,Strongly favorable,Strongly favorable,Strongly favorable,0,Yes,0,Somewhat disagree,Dorm,A great deal,Very likely,Very likely,Very likely,Very likely,Very likely,Very likely,Very likely,Very likely,Moderately likely,Yes,No,No,4,"SAT,ACT",1540,35,Private (non-denominational),No,10,8,Yes,No,No,No,Atheist,Not at all religious,Somewhat liberal,Ineligible to vote,,,Ineligible to vote,"Drank alcohol,Had sex",No,,Online
Trinity,No,White,Cis Woman,Bisexual,No,No,No,NC,18940,,,Suburban,"$80,000-$125,000",Yes,Undecided,Academics and interdisciplinary curriculum,Not interested at all,Extremely interested,Neither more or less likely,Meeting new people,On campus,,,Staying on campus,No,,No,No,Somewhat favorable,Somewhat favorable,Strongly favorable,1,Yes,1,Somewhat agree,Orientation Week,A lot,Very likely,Very likely,Moderately Likely,Moderately unlikely,Moderately Likely,Very likely,Moderately unlikely,Moderately unlikely,Neither likely nor unlikely,Yes,No,No,3.98,"SAT,ACT",1500,34,Public (non-charter),No,6,3,Yes,No,Yes,Yes,Atheist,Not at all religious,Very liberal,Yes,Joe Biden,Home (Not Durham),Yes,"Drank alcohol,Used drugs,Had sex",Yes,Yes,Neither
Trinity,No,Black or African American,Cis Man,Heterosexual,Prefer not to say,No,No,OH,44121,,,Suburban,"$40,000-$80,000",Yes,Public Policy Studies,Academics and interdisciplinary curriculum,Not interested at all,Moderately interested,Much less likely,Meeting new people,On campus,,,Staying on campus,No,,No,Yes,Somewhat favorable,Somewhat favorable,Somewhat favorable,1,No,,Somewhat agree,Dorm,A moderate amount,Moderately Likely,Very likely,Moderately Likely,Moderately unlikely,Moderately Likely,Very likely,Moderately unlikely,Very unlikely,Very unlikely,Yes,No,No,3.47,ACT,,34,Private (non-denominational),No,3,3,Yes,No,Yes,No,Protestant,Religious,Very liberal,Yes,Joe Biden,Durham,Yes,"Drank alcohol,Used drugs,Had sex",No,,Neither
Trinity,No,Asian,Cis Woman,Heterosexual,No,No,No,VA,23059,,,Suburban,"$125,000-$250,000",No,Biology,Pre-professional opportunities and alumni network,Slightly interested,Very interested,Less likely,Meeting new people,On campus,,,Staying on campus,No,,No,Yes,Somewhat favorable,Somewhat unfavorable,Strongly favorable,1,Yes,1,Strongly agree,Dorm,A lot,Very likely,Very likely,Moderately Likely,Moderately Likely,Very likely,Very likely,Neither likely or unlikely,Neither likely or unlikely,Neither likely nor unlikely,Yes,No,No,3.96,SAT,1520,,Public (non-charter),No,4,4,Yes,No,Yes,No,Protestant,Religious,Somewhat liberal,Yes,Joe Biden,Home (Not Durham),Yes,,No,,Online
Trinity,No,Asian,Cis Woman,Heterosexual,No,No,No,VA,20176,,,Suburban,"$80,000-$125,000",Yes,"Program II (self-designed degree, BA or BS)",Academics and interdisciplinary curriculum,Not interested at all,Slightly interested,Much less likely,Meeting new people,On campus,,,Staying on campus,No,,No,No,Somewhat favorable,Somewhat favorable,No opinion,1,Yes,1,Somewhat agree,Other,A great deal,Very likely,Very likely,Moderately Likely,Very likely,Very likely,Very likely,Moderately unlikely,Neither likely or unlikely,Neither likely nor unlikely,Yes,No,No,4,ACT,,35,Public (non-charter),Yes,19,7,No,No,No,No,Agnostic,Not at all religious,Very liberal,Yes,Joe Biden,Home (Not Durham),Yes,Had sex,Yes,Yes,Online
Trinity,No,"White,Black or African American",Cis Woman,Bisexual,No,No,No,NC,27282,,,Suburban,"$80,000-$125,000",Yes,Biology,Other,Not interested at all,Not interested at all,Neither more or less likely,,On campus,,,Staying on campus,No,,No,Yes,Strongly favorable,Strongly favorable,Strongly favorable,0,Yes,0,Strongly agree,Dorm,A little,Very likely,Very likely,Moderately Likely,Moderately Likely,Very likely,Very likely,Neither likely or unlikely,Moderately unlikely,Very unlikely,Yes,No,No,4,ACT,,34,Public (non-charter),No,4,2,Yes,No,Yes,No,Agnostic,Not very religious,Very liberal,Yes,Joe Biden,Home (Not Durham),Yes,Had sex,No,,Online
Trinity,No,Asian,Cis Woman,Questioning,No,No,No,OH,44111,,,Urban,"Below $40,000",Yes,Global Cultural Studies,Academics and interdisciplinary curriculum,Not interested at all,Slightly interested,Neither more or less likely,Preprofessional opportunities / alumni network,On campus,,,Staying on campus,No,,No,No,Somewhat favorable,Somewhat favorable,Strongly favorable,0,Yes,0,Strongly agree,Clubs/Extracurriculars,A little,Very likely,Very likely,Moderately Likely,Moderately Likely,Moderately Likely,Moderately Likely,Moderately Likely,Moderately Likely,Neither likely nor unlikely,Yes,No,No,4,SAT,1580,,Private (non-denominational),No,2,2,Yes,No,No,No,Protestant,Religious,Somewhat liberal,Yes,Joe Biden,Home (Durham),Yes,Drank alcohol,Prefer not to say,,Online
Trinity,No,Asian,Cis Man,Heterosexual,No,No,No,CA,91765,,,Suburban,"$40,000-$80,000",Yes,Political Science,Student life / campus culture,Moderately interested,Moderately interested,Less likely,Meeting new people,On campus,,,Staying on campus,Yes,Somewhat unfavorable,No,No,Somewhat favorable,Somewhat unfavorable,Somewhat unfavorable,2,Yes,2,Somewhat agree,Orientation Week,A great deal,Very likely,Very likely,Moderately Likely,Moderately Likely,Moderately Likely,Very likely,Neither likely or unlikely,Neither likely or unlikely,Neither likely nor unlikely,Yes,Prefer not to say,No,4,SAT,1580,,Public (non-charter),Yes,19,10,No,No,No,No,Protestant,Somewhat religious,Somewhat liberal,Yes,Joe Biden,Durham,Ineligible to vote,"Drank alcohol,Used drugs",No,,Online
Trinity,No,White,Cis Man,Heterosexual,No,No,No,MA,02493,,,Suburban,"Above $500,000",No,Computer Science,Student life / campus culture,Not interested at all,Extremely interested,Neither more or less likely,Wanting to belong in a social group,On campus,,,Staying on campus,No,,No,No,Somewhat favorable,Somewhat favorable,Strongly favorable,2,Yes,2,Strongly agree,Dorm,A little,Very likely,Very likely,Moderately Likely,Moderately Likely,Very likely,Very likely,Moderately Likely,Moderately Likely,Neither likely nor unlikely,Yes,No,No,3.8,ACT,,35,Private (non-denominational),No,3,1,Yes,No,Yes,No,Jewish,Not very religious,Somewhat liberal,Yes,Joe Biden,Durham,No,"Drank alcohol,Used drugs,Had sex,Obtained a fake ID",Yes,No,Online
Pratt,No,Asian,Cis Woman,Heterosexual,No,No,No,CA,92127,,,Suburban,"$250,000-$500,000",No,Computer Science,Pre-professional opportunities and alumni network,Slightly interested,Very interested,More likely,Meeting new people,On campus,,,Staying on campus,No,,No,No,Strongly favorable,Somewhat favorable,Somewhat favorable,2,Yes,1,Somewhat disagree,Classes,A lot,Very likely,Very likely,Very likely,Very likely,Moderately Likely,Moderately Likely,Moderately unlikely,Moderately unlikely,Moderately likely,Yes,No,No,4,ACT,,36,Public (non-charter),Yes,15,7,No,No,No,No,Atheist,Not at all religious,Moderate,Yes,Joe Biden,Home (Not Durham),Ineligible to vote,,No,,Online
Trinity,No,White,Cis Woman,Heterosexual,No,No,No,MA,01742,,,Suburban,,No,Computer Science,Student life / campus culture,Moderately interested,Moderately interested,Neither more or less likely,Meeting new people,On campus,,,Staying on campus,No,,No,No,Somewhat favorable,Somewhat favorable,Somewhat favorable,1,Yes,1,Somewhat agree,Dorm,A moderate amount,Very likely,Very likely,Neither likely or unlikely,Neither likely or unlikely,Very likely,Very likely,Moderately unlikely,Moderately unlikely,Very unlikely,Yes,No,No,,ACT,,36,Private (non-denominational),No,4,1,Yes,No,Yes,Yes,Protestant,Not very religious,Somewhat liberal,Yes,Joe Biden,Durham,Yes,"Drank alcohol,Had sex",No,,Online
Trinity,No,White,Cis Woman,Bisexual,No,No,No,NC,28782,,,Rural,"$80,000-$125,000",No,Chemistry,Academics and interdisciplinary curriculum,Not interested at all,Not interested at all,Neither more or less likely,,On campus,,,Staying on campus,No,,No,Yes,Strongly favorable,Strongly favorable,Strongly favorable,1,Yes,1,Somewhat agree,Other,A lot,Very likely,Very likely,Very likely,Moderately Likely,Very likely,Very likely,Moderately Likely,Moderately Likely,Moderately likely,Yes,Yes — lost their job,No,4,"SAT,ACT",1400,35,Public (non-charter),No,4,1,Yes,No,Yes,No,Other,Somewhat religious,Very liberal,Yes,Joe Biden,Home (Not Durham),Yes,"Drank alcohol,Had sex",No,,Online
Trinity,No,Black or African American,Cis Woman,Heterosexual,No,No,No,IL,60516,,,Suburban,"$40,000-$80,000",Yes,Neuroscience,Financial aid award / scholarship,Not interested at all,Slightly interested,Neither more or less likely,Meeting new people,On campus,,,Staying on campus,No,,No,No,Strongly favorable,No opinion,Strongly favorable,2,Yes,2,Strongly agree,Dorm,None at all,Very likely,Very likely,Very likely,Very likely,Moderately Likely,Very likely,Moderately Likely,Moderately Likely,Very likely,Yes,No,No,4,"SAT,ACT",1360,32,Public (non-charter),No,6,1,Yes,No,Yes,No,Agnostic,Not very religious,Very liberal,Yes,Joe Biden,Durham,Ineligible to vote,,Yes,Yes,Print and Online
Trinity,No,Asian,Cis Man,Heterosexual,No,No,No,WA,98004,,,Suburban,"$250,000-$500,000",No,Computer Science,Pre-professional opportunities and alumni network,Moderately interested,Moderately interested,Less likely,Wanting to belong in a social group,On campus,,,Staying on campus,No,,No,Yes,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable,3,Yes,1,Strongly agree,Dorm,None at all,Very likely,Very likely,Very likely,Very likely,Very likely,Very likely,Very likely,Very likely,Moderately likely,Yes,No,No,4,ACT,,35,Public (non-charter),No,1,1,Yes,No,Yes,No,Protestant,Somewhat religious,Moderate,Yes,Joe Biden,Durham,Yes,"Drank alcohol,Used drugs",No,,Print and Online
Trinity,Yes,White,Cis Woman,Heterosexual,Yes,No,No,NY,11375,,,Urban,"$125,000-$250,000",No,"Program II (self-designed degree, BA or BS)",Academics and interdisciplinary curriculum,Moderately interested,Moderately interested,Neither more or less likely,Preprofessional opportunities / alumni network,On campus,,,Staying on campus,No,,No,Yes,Somewhat favorable,Somewhat unfavorable,Somewhat favorable,0,Yes,0,Somewhat agree,Dorm,A moderate amount,Very likely,Very likely,Moderately Likely,Very likely,Moderately Likely,Moderately Likely,Moderately unlikely,Moderately unlikely,Moderately unlikely,Yes,No,No,3.95,ACT,,35,Private (parochial),Yes,1,1,Yes,No,Yes,No,Catholic,Very religious,Somewhat liberal,Yes,Joe Biden,Home (Not Durham),Yes,"Drank alcohol,Had sex,Obtained a fake ID",Yes,No,Online
Trinity,No,White,Cis Woman,Questioning,No,No,No,CA,90272,,,Urban,"$125,000-$250,000",No,"Program II (self-designed degree, BA or BS)",Academics and interdisciplinary curriculum,Not interested at all,Not interested at all,Much less likely,,On campus,,,Staying on campus,No,,No,No,Strongly favorable,Strongly favorable,No opinion,3,Yes,2,Somewhat agree,Dorm,A moderate amount,Very likely,Very likely,Neither likely or unlikely,Moderately Likely,Very likely,Very likely,Moderately unlikely,Neither likely or unlikely,Neither likely nor unlikely,Yes,No,No,4,SAT,1590,,Public (charter),Yes,11,7,No,No,No,No,Jewish,Somewhat religious,Somewhat liberal,Yes,Joe Biden,Durham,No,Drank alcohol,Yes,No,Online
Trinity,No,White,Cis Woman,Heterosexual,No,No,No,NC,28216,,,Suburban,"Above $500,000",No,Neuroscience,Academics and interdisciplinary curriculum,Not interested at all,Not interested at all,Neither more or less likely,,Remote in Durham,,,Staying remote in Durham,No,,No,No,Strongly favorable,Strongly favorable,Strongly favorable,4,Yes,2,Strongly agree,Clubs/Extracurriculars,A little,Very likely,Very likely,Very likely,Very likely,Very likely,Very likely,Neither likely or unlikely,Very likely,Neither likely nor unlikely,No,No,No,4,"SAT,ACT",1550,35,Public (non-charter),No,4,2,Yes,No,Yes,Yes,Other,Not very religious,Moderate,Yes,Donald Trump,Home (Not Durham),No,Drank alcohol,No,,Online
Trinity,No,Asian,Cis Woman,Heterosexual,No,No,No,SC,29501,,,Suburban,"$250,000-$500,000",No,Biology,Academics and interdisciplinary curriculum,Not interested at all,Not interested at all,Neither more or less likely,,On campus,,,Staying on campus,No,,No,No,Strongly favorable,Somewhat favorable,Strongly favorable,2,Yes,2,Strongly disagree,Classes,A great deal,Very likely,Very likely,Very likely,Very likely,Very unlikely,Very unlikely,Very unlikely,Very unlikely,Very unlikely,Yes,No,No,4,"SAT,ACT",1520,35,Public (non-charter),No,9,4,Yes,No,Yes,Yes,Agnostic,Not at all religious,Very liberal,Yes,Joe Biden,Home (Not Durham),Yes,,No,,Online
Trinity,Yes,"White,Black or African American",Cis Woman,Heterosexual,No,No,No,SC,29715,,,Suburban,"$250,000-$500,000",No,Computer Science,"Duke’s ""brand name""",Not interested at all,Slightly interested,Neither more or less likely,Cultural connection,On campus,,,Staying on campus,No,,No,No,Strongly favorable,Somewhat favorable,Strongly favorable,2,No,,Strongly agree,Dorm,A little,Very likely,Very likely,Very likely,Moderately Likely,Moderately Likely,Moderately Likely,Neither likely or unlikely,Neither likely or unlikely,Moderately unlikely,Yes,Yes — furloughed,No,4,ACT,,33,Public (non-charter),No,2,2,Yes,No,Yes,No,Atheist,Not at all religious,Very liberal,Yes,Joe Biden,Durham,No,Had sex,No,,Print
Pratt,No,White,Cis Man,Heterosexual,No,No,No,PA,19342,,,Suburban,"$125,000-$250,000",No,Electrical and Computer Engineering,Academics and interdisciplinary curriculum,Moderately interested,Extremely interested,Neither more or less likely,Wanting to belong in a social group,On campus,,,Staying on campus,No,,No,No,Somewhat favorable,Somewhat favorable,Strongly favorable,2,Yes,2,Somewhat agree,Dorm,A lot,Very likely,Moderately Likely,Moderately Likely,Moderately Likely,Very likely,Moderately Likely,Moderately unlikely,Moderately unlikely,Neither likely nor unlikely,Yes,No,No,3.92,SAT,1530,,Public (non-charter),No,2,1,Yes,No,Yes,Yes,Catholic,Religious,Very conservative,Yes,Donald Trump,Home (Not Durham),Yes,,Yes,No,Print
Trinity,No,Asian,Cis Man,Heterosexual,No,No,No,TX,77024,,,Suburban,"$125,000-$250,000",No,Environmental Sciences and Policy,Academics and interdisciplinary curriculum,Slightly interested,Moderately interested,Less likely,Meeting new people,On campus,,,Staying on campus,No,,No,Yes,Strongly favorable,Strongly favorable,Somewhat favorable,1,Yes,1,Somewhat agree,Dorm,A lot,Very likely,Very likely,Moderately Likely,Neither likely or unlikely,Very likely,Moderately Likely,Moderately unlikely,Moderately unlikely,Moderately likely,Yes,No,No,4,"SAT,ACT",1540,36,Public (non-charter),Yes,2,2,Yes,No,Yes,No,Agnostic,Not very religious,Very liberal,Yes,Joe Biden,Home (Durham),Ineligible to vote,"Drank alcohol,Used drugs",Yes,Yes,Print and Online
Trinity,No,Asian,Cis Woman,Bisexual,No,No,No,tx,76092,,,Suburban,"Above $500,000",No,Neuroscience,Academics and interdisciplinary curriculum,Not interested at all,Not interested at all,Neither more or less likely,,On campus,,,Staying on campus,No,,No,Yes,Strongly favorable,Somewhat favorable,Strongly favorable,1,Yes,1,Strongly agree,Orientation Week,A lot,Very likely,Very likely,Very likely,Very likely,Moderately Likely,Very likely,Moderately unlikely,Moderately unlikely,Moderately unlikely,Yes,No,No,4,SAT,1570,,Public (non-charter),No,10,6,No,No,No,No,Atheist,Not at all religious,Very liberal,Yes,Joe Biden,Durham,No,,No,,Online
Trinity,No,"White,Black or African American",Cis Man,Heterosexual,Yes,No,No,NC,27944,,,Rural,"Below $40,000",Yes,Biology,Academics and interdisciplinary curriculum,Moderately interested,Moderately interested,Neither more or less likely,Preprofessional opportunities / alumni network,On campus,,,Staying on campus,No,,No,No,Somewhat favorable,Somewhat favorable,Strongly favorable,1,Yes,1,Somewhat agree,Dorm,A lot,Moderately Likely,Very likely,Moderately Likely,Moderately Likely,Moderately Likely,Moderately Likely,Neither likely or unlikely,Neither likely or unlikely,Neither likely nor unlikely,Yes,Prefer not to say,No,4,"SAT,ACT",1380,34,Public (charter),,3,2,Yes,No,Yes,No,Protestant,Not very religious,Somewhat liberal,Yes,Joe Biden,Durham,Yes,"Drank alcohol,Used drugs,Had sex",No,,Online
Trinity,Yes,White,Cis Man,Heterosexual,No,No,No,NY,10598,,,Suburban,"$125,000-$250,000",Yes,Chemistry,Student life / campus culture,Moderately interested,Moderately interested,Much less likely,Meeting new people,On campus,,,Staying on campus,Yes,Somewhat favorable,No,No,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable,2,Yes,2,Somewhat agree,Dorm,A lot,Very likely,Very likely,Neither likely or unlikely,Neither likely or unlikely,Very likely,Very likely,Moderately unlikely,Moderately unlikely,Moderately unlikely,No,Yes — furloughed,Yes,4,"SAT,ACT",1550,36,Public (non-charter),Yes,19,16,No,No,Yes,No,Agnostic,Not at all religious,Somewhat liberal,Yes,Joe Biden,Durham,No,"Drank alcohol,Used drugs,Obtained a fake ID",Yes,Yes,Online
Trinity,No,Asian,Cis Man,Heterosexual,No,No,No,MD,21043,,,Suburban,"$125,000-$250,000",No,Global Health**,Student life / campus culture,Not interested at all,Moderately interested,Neither more or less likely,Wanting to belong in a social group,On campus,,,Staying on campus,No,,No,No,Somewhat favorable,Somewhat unfavorable,Strongly favorable,1,Yes,0,Strongly agree,Dorm,A moderate amount,Very likely,Moderately Likely,Moderately Likely,Moderately Likely,Very likely,Very likely,Moderately Likely,Moderately Likely,Very unlikely,Yes,No,No,3.95,SAT,1510,,Public (non-charter),Yes,2,2,Yes,No,Yes,No,Hindu,Somewhat religious,Very liberal,Ineligible to vote,,,Ineligible to vote,"Drank alcohol,Used drugs",No,,Online
Trinity,No,White,Cis Woman,Heterosexual,No,No,No,MA,02459,,,Urban,"$250,000-$500,000",No,Neuroscience,Academics and interdisciplinary curriculum,Slightly interested,Moderately interested,More likely,Wanting to belong in a social group,On campus,,,Staying on campus,No,,No,Yes,Strongly favorable,Strongly favorable,Strongly favorable,2,Yes,1,Strongly agree,Dorm,A little,Very likely,Very likely,Moderately Likely,Moderately unlikely,Moderately Likely,Very likely,Moderately Likely,Very unlikely,Neither likely nor unlikely,Yes,No,No,4,SAT,1530,,Public (non-charter),Yes,18,10,No,Yes,No,Yes,Catholic,Very religious,Somewhat liberal,Yes,Joe Biden,Durham,Ineligible to vote,"Drank alcohol,Had sex",No,,Online
Pratt,No,White,Cis Man,Heterosexual,No,No,No,CA,94010,,,Suburban,"Above $500,000",No,Mechanical Engineering,Academics and interdisciplinary curriculum,Slightly interested,Extremely interested,Much less likely,Meeting new people,On campus,,,Staying on campus,No,,No,No,Somewhat favorable,Strongly unfavorable,Strongly favorable,2,Yes,2,Strongly agree,Dorm,A lot,Moderately Likely,Very likely,Moderately Likely,Moderately Likely,Very likely,Very likely,Very likely,Very likely,Very unlikely,Yes,No,No,3.99,"SAT,ACT",1580,36,Private (parochial),No,25,14,No,No,Yes,No,Catholic,Somewhat religious,Very liberal,Yes,Joe Biden,Durham,Ineligible to vote,"Drank alcohol,Used drugs,Had sex,Obtained a fake ID",No,,Neither
Trinity,No,Asian,Cis Woman,Heterosexual,No,No,No,NY,10543,,,Suburban,"Above $500,000",No,Undecided,Student life / campus culture,Not interested at all,Moderately interested,Neither more or less likely,Meeting new people,On campus,,,Staying on campus,No,,No,Yes,Strongly favorable,Strongly unfavorable,Somewhat favorable,2,Yes,2,Somewhat agree,Dorm,A moderate amount,Very likely,Very likely,Neither likely or unlikely,Neither likely or unlikely,Very likely,Very likely,Moderately unlikely,Neither likely or unlikely,Very unlikely,Yes,No,No,3.93,SAT,1570,,Private (non-denominational),Yes,1,1,Yes,No,Yes,No,Hindu,Not very religious,Somewhat liberal,Yes,Joe Biden,Durham,No,Drank alcohol,No,,Online
Pratt,No,White,Cis Man,Heterosexual,No,No,No,NY,13905,,,Suburban,"$125,000-$250,000",Yes,Mechanical Engineering,Student life / campus culture,Slightly interested,Very interested,Much less likely,Wanting to belong in a social group,On campus,,,Staying on campus,No,,No,No,Somewhat favorable,Strongly unfavorable,Somewhat favorable,2,Yes,2,Strongly agree,Dorm,A moderate amount,Moderately Likely,Very likely,Neither likely or unlikely,Moderately unlikely,Moderately Likely,Very likely,Neither likely or unlikely,Moderately unlikely,Very unlikely,Yes,Yes — lost their job,No,3.99,"SAT,ACT",1500,36,Private (parochial),No,12,8,Yes,No,Yes,No,Catholic,Somewhat religious,Somewhat liberal,Yes,Joe Biden,Home (Not Durham),Yes,"Drank alcohol,Used drugs,Had sex",No,,Online
Trinity,No,White,Cis Woman,Heterosexual,Yes,No,No,TX,78681,,,Suburban,"$40,000-$80,000",Yes,Chemistry,Financial aid award / scholarship,Not interested at all,Not interested at all,Much less likely,,On campus,,,Staying on campus,No,,Yes,No,Strongly favorable,Somewhat favorable,Strongly favorable,0,Yes,0,Strongly agree,Dorm,A little,Very likely,Very likely,Moderately Likely,Moderately Likely,Very likely,Very likely,Moderately Likely,Neither likely or unlikely,Moderately unlikely,Yes,Prefer not to say,No,4,SAT,1580,,Public (non-charter),No,17,9,No,No,No,No,Agnostic,Not at all religious,Moderate,Yes,Joe Biden,Durham,Yes,Drank alcohol,No,,Print and Online
Trinity,No,White,Cis Man,Heterosexual,No,No,No,OK,73120,,,Suburban,"$125,000-$250,000",Yes,Physics,Academics and interdisciplinary curriculum,Very interested,Moderately interested,More likely,Wanting to belong in a social group,On campus,,,Staying on campus,No,,No,No,Somewhat favorable,Strongly unfavorable,Strongly favorable,2,No,,Strongly agree,Orientation Week,A moderate amount,Neither likely or unlikely,Moderately unlikely,Very unlikely,Very unlikely,Moderately Likely,Neither likely or unlikely,Neither likely or unlikely,Moderately unlikely,Very unlikely,Yes,No,No,4,"SAT,ACT",1490,35,Private (non-denominational),Yes,9,3,Yes,No,Yes,No,Protestant,Somewhat religious,Somewhat conservative,Yes,Donald Trump,Home (Not Durham),Ineligible to vote,"Drank alcohol,Used drugs,Had sex,Obtained a fake ID",No,,Print and Online
